Agent 1122016
Person 1023158
Place 707306
Location 707306
PopulatedPlace 509820
Region 499194
AdministrativeRegion 499194
Athlete 475258
Species 355028
Eukaryote 340914
Work 306504
Animal 263336
SoccerPlayer 238004
ArchitecturalStructure 120284
Insect 108052
MusicalWork 99740
Organisation 87556
SocietalEvent 84392
Event 84392
Artist 78296
Plant 72398
SportsEvent 69682
Building 66162
FloweringPlant 60162
Album 58322
Film 56864
Infrastructure 49396
President 48832
Politician 48832
Fish 47514
Actor 47300
TelevisionEpisode 46590
Municipality 38808
GovernmentalAdministrativeRegion 38808
WrittenWork 36410
NaturalPlace 34738
FootballMatch 33750
CelestialBody 31446
Single 30220
TelevisionShow 27232
Bird 26530
MeanOfTransportation 26218
Software 23970
Station 23740
MusicalArtist 23040
BodyOfWater 22674
SportsClub 20700
SoccerClub 20700
Arachnid 19920
Venue 18794
RouteOfTransportation 17990
Book 17882
Writer 17778
Mammal 17014
Stadium 16836
Noble 16474
VideoGame 16254
Amphibian 15186
MilitaryConflict 14700
PeriodicalLiterature 13454
Reptile 12978
FictionalCharacter 11302
PoliticalParty 10232
MilitaryPerson 9754
Island 9720
Mountain 9342
EducationalInstitution 9102
HistoricBuilding 8960
SportCompetitionResult 8928
OlympicResult 8928
Magazine 8708
Song 8702
Artwork 8596
ReligiousBuilding 8218
Museum 8006
Mollusca 7714
University 7624
PersonFunction 7480
Automobile 6988
Airport 6928
Broadcaster 6692
Coach 6626
Tournament 6468
SoccerTournament 6468
Disease 6378
Ship 6088
SportsTeam 5828
Religious 5804
Aircraft 5660
WorldHeritageSite 5628
Road 5560
Painting 5552
ChemicalSubstance 5504
Park 5390
Cartoon 5154
Anime 5154
MotorsportRacer 5084
Play 5074
TelevisionStation 4786
Wrestler 4760
Newspaper 4746
Fungus 4470
TennisPlayer 4154
Language 4088
Device 3784
Protein 3618
Biomolecule 3618
Diocese 3354
ClericalAdministrativeRegion 3354
TimeInterval 3318
Holiday 3318
Weapon 3242
Company 3212
PublicTransitSystem 3042
Airline 3042
Drug 2952
Model 2732
Award 2680
Mineral 2552
Cleric 2552
ChristianBishop 2528
Journalist 2374
EthnicGroup 2278
Bridge 1996
Website 1976
Theatre 1958
Beach 1950
RadioStation 1906
Galaxy 1862
Crustacean 1802
TopicalConcept 1746
MusicGenre 1746
Genre 1746
Hospital 1740
Bacteria 1616
Olympics 1556
School 1478
AnatomicalStructure 1310
Food 1288
Referee 1146
Country 902
Moss 874
Hotel 842
Conifer 820
Train 804
ShoppingMall 798
Fern 776
Activity 776
Beverage 774
Cave 772
Port 738
BullFighter 588
Artery 576
BaseballTeam 550
Cheese 514
Instrument 506
Muscle 456
Game 444
Archaea 384
ProgrammingLanguage 348
Sport 332
Colour 332
Stream 310
River 310
Vein 278
Criminal 264
GreenAlga 192
Currency 140
Cycad 134
RugbyPlayer 128
Scientist 100
ClubMoss 76
Architect 72
WinterSportPlayer 50
IceHockeyPlayer 50
Engine 36
AutomobileEngine 36
Lake 32
Gnetophytes 32
Saint 24
Planet 12
Ginkgo 12
MusicFestival 10
Chef 8
Cyclist 6
Locality 4
Swimmer 2
BadmintonPlayer 2
